time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-01T19:30:50.120Z,37.2316667,-97.9753333,4.25,2.52,ml,11,260,0.006053,0.04,ismpkansas,ismpkansas70228413,2017-06-02T15:46:04.900Z,"7km SE of Harper, Kansas",earthquake,0.57,0.54,0.141,16,reviewed,ismp,ismp
2017-06-01T18:26:40.410Z,37.2411,-97.9737,6.56,3.3,mb_lg,,87,0.014,0.32,us,us10008x7c,2017-06-03T22:22:54.748Z,"6km SE of Harper, Kansas",earthquake,1.2,3.2,0.072,50,reviewed,us,us
2017-06-01T17:54:01.024Z,66.8987,-154.0866,0,2.5,ml,,,,0.83,ak,ak16154437,2017-06-01T18:09:43.943Z,"74km WNW of New Allakaket, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T16:02:57.740Z,45.0576667,-123.0955,22.48,2.96,ml,32,60,0.1947,0.22,uw,uw61272097,2017-06-03T22:57:38.170Z,"9km NW of Keizer, Oregon",earthquake,0.3,0.98,0.125,22,reviewed,uw,uw
2017-06-01T15:19:14.630Z,32.9786667,-115.905,10.67,3.2,ml,90,28,0.0719,0.27,ci,ci37659039,2017-06-01T20:33:23.072Z,"27km WSW of Westmorland, CA",earthquake,0.16,0.45,0.196,232,reviewed,ci,ci
2017-06-01T15:10:19.860Z,39.477,72.0072,10,4.4,mb,,62,1.084,1.45,us,us10008x37,2017-06-01T17:05:32.040Z,"49km ENE of Karakenja, Tajikistan",earthquake,2.4,1.9,0.078,49,reviewed,us,us
2017-06-01T15:09:19.380Z,-15.9275,-74.5807,12.9,4.5,mb,,146,4.489,0.88,us,us10008x36,2017-06-01T15:44:00.316Z,"55km S of Acari, Peru",earthquake,7.7,4.4,0.128,20,reviewed,us,us
2017-06-01T13:58:22.820Z,4.1195,128.434,81.03,4.5,mb,,107,3.492,0.88,us,us10008x2n,2017-06-01T14:50:40.040Z,"268km N of Tobelo, Indonesia",earthquake,10.1,5.1,0.074,54,reviewed,us,us
2017-06-01T13:50:05.930Z,23.2264,125.3148,23.45,4.5,mb,,97,2.444,1.08,us,us10008x2k,2017-06-01T14:41:54.040Z,"171km SE of Ishigaki, Japan",earthquake,6.9,6.2,0.124,19,reviewed,us,us
2017-06-01T11:16:19.170Z,19.1203,-65.3568,28,2.56,md,14,253,0.8162,0.27,pr,pr2017152002,2017-06-02T01:01:14.120Z,"90km N of Culebra, Puerto Rico",earthquake,1.6,16.079,0.14,7,reviewed,pr,pr
2017-06-01T08:16:08.200Z,-3.349,151.4948,10,4.7,mb,,92,10.349,0.61,us,us10008x1g,2017-06-01T09:08:20.040Z,"110km WNW of Namatanai, Papua New Guinea",earthquake,5.8,1.9,0.092,36,reviewed,us,us
2017-06-01T06:50:27.190Z,36.6837,-97.6746,3.58,2.5,mb_lg,,86,0.357,0.18,us,us10008x13,2017-06-01T15:14:58.714Z,"14km SSE of Medford, Oklahoma",earthquake,1.4,10,0.079,42,reviewed,us,us
